Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:21:36:26.991,61,0.4575025141,0.2607110739,0.1535388529,0.0000000000,0.0000000000,0.3103206456,0.0000000000,0.4571701586,0.2616997361,0.0000000000,0.0311745089,0.0000000000,0.3093264401,0.0000000000,0.0454495884,0.0000000000,0.0325259902,0.1092942506,0.1140971556,0.0541420504,0.1517008245,0.0000000000,0.0232800897,0.0000000000,0.0076814378,0.0027660560,0.0000000000,0.0313844271,0.0342677459,0.0810860842,0.0954159722,0.0913908705,0.0465322658,0.1466050446,0.0806553811,0.0678362101,0.0632339641,0.0644631088,0.0629630536,0.0186507273,0.0213076361,0.0961489379,0.0960225910,0.0647826716,0.0000000000,0.0000000000,0.0338568017,0.1021974459,0.0891967341,0.0550645702,0.0661077052,0.0000001664,0.0881026387,-0.0113502452,0.0413637385,0.0188005753,0.1598917842,0.0030317514,0.0926011875,0.1599505246,0.0149167823
23:21:36:27.991,61,0.4824342728,0.2894245684,0.1379298568,0.0000000000,0.0000000000,0.3155590594,0.0000000000,0.4822727442,0.2903248668,0.0000000000,0.0152945928,0.0000000000,0.3145537674,0.0000000000,0.0460709520,0.0000000000,0.0324532017,0.1120980307,0.1213954687,0.0631426722,0.1446961910,0.0000000000,0.0229785182,0.0000000000,0.0064881621,0.0036400924,0.0000000000,0.0312765911,0.0340989120,0.0828134492,0.0982543305,0.0896081477,0.0466856211,0.1426138133,0.0801861286,0.0679140985,0.0632264763,0.0659933388,0.0653570592,0.0189992469,0.0215883814,0.1026278585,0.1025011539,0.0655344576,0.0000000000,0.0000000000,0.0336472765,0.1022445410,0.0894755870,0.0556498766,0.0663171187,0.0000001957,0.0746818781,0.0083150044,0.0391395874,0.0091963857,0.1773569584,0.0016483380,0.0829400867,0.1774157435,0.0148531012
23:21:36:28.991,61,0.7124512196,0.2765362859,0.1490265876,0.0000000000,0.0000000000,0.3177584410,0.0000000000,0.7095903754,0.2775307000,0.0000000000,0.0273161139,0.0000000000,0.3168082535,0.0000000000,0.0466644429,0.0000000000,0.0298372097,0.1310823560,0.1433397830,0.0657014102,0.1402415335,0.0000000000,0.0225827675,0.0000000000,0.0058523505,0.0045370194,0.0000000000,0.0313958526,0.0342226103,0.0871379152,0.1027415916,0.0895913690,0.0471304134,0.1362331957,0.0763136297,0.0682770982,0.0634757802,0.0719272271,0.0738708153,0.0193237066,0.0218398832,0.1380943656,0.1380333751,0.0825923681,0.0000000000,0.0000000000,0.0334013365,0.1070884913,0.1050239950,0.0588363297,0.0681611076,0.0000004879,0.0746818781,0.0083150044,0.0391395874,0.0164472163,0.1695570350,0.0028156433,0.0897358358,0.1696154773,0.0153464237
23:21:36:29.991,61,0.7800967693,0.2568857074,0.1365560144,0.0000000000,0.0000000000,0.2962670922,0.0000000000,0.7779020071,0.2576574683,0.0000000000,0.0147890113,0.0000000000,0.2956894338,0.0000000000,0.0472240113,0.0000000000,0.0292754024,0.1502629369,0.1505358666,0.0850998089,0.1388581991,0.0000000000,0.0200437326,0.0000000000,0.0048415316,0.0052818069,0.0000000000,0.0315530971,0.0343327187,0.1017276943,0.1174835265,0.0767183229,0.0468080975,0.1244078428,0.0743947700,0.0681101084,0.0631897599,0.0945451409,0.0975023210,0.0248404350,0.0266304258,0.1827749014,0.1827551275,0.0875194073,0.0000000000,0.0000000000,0.0326041467,0.1148125529,0.1159140542,0.0657347366,0.0750716552,0.0000021617,0.0746818781,0.0083150044,0.0391395874,0.0089224214,0.1574003398,0.0014160863,0.0823900253,0.1574611068,0.0130659817
23:21:37:00.991,61,0.8136584759,0.2589536607,0.1253678799,0.0000000000,0.0000000000,0.2649642825,0.0000000000,0.8114625812,0.2596020401,0.0000000000,0.0034525571,0.0000000000,0.2646693289,0.0000000000,0.0491988137,0.0000000000,0.0304571893,0.1962381005,0.1481204033,0.1152431890,0.1317010969,0.0000000000,0.0176737830,0.0000000000,0.0041302135,0.0052079130,0.0000000000,0.0320242457,0.0347678103,0.1229876429,0.1477596909,0.0693680868,0.0453566052,0.1111873835,0.0731201470,0.0673117191,0.0617484115,0.1365442872,0.1415461749,0.0482621007,0.0502254106,0.2511757016,0.2511720061,0.0990736857,0.0000000000,0.0000000000,0.0307016615,0.1194685623,0.1218828633,0.0738925189,0.0829165950,0.0000078019,0.0690962449,0.0049182959,0.0403703153,0.0020825835,0.1585822403,0.0003330571,0.0756248832,0.1586430669,0.0120869186
23:21:37:01.992,61,0.8381209373,0.2396861315,0.1294738501,0.0000000000,0.0000000000,0.2270149142,0.0000000000,0.8372473121,0.2403250337,0.0000000000,0.0083537959,0.0000000000,0.2268990576,0.0000000000,0.0533246845,0.0000000000,0.0310618989,0.2144511938,0.1278856099,0.1251656860,0.1207579076,0.0000000000,0.0135909515,0.0000000000,0.0039960244,0.0046038190,0.0000000000,0.0325587280,0.0352689177,0.1302412897,0.1566481739,0.0609817058,0.0429504998,0.1015313193,0.0720222965,0.0644826367,0.0587691218,0.1496741325,0.1549898833,0.0635844395,0.0644899011,0.2450493872,0.2450453043,0.1030231565,0.0000000000,0.0000000000,0.0276373196,0.1216405779,0.1249270961,0.0769428760,0.0863057077,0.0000227652,0.0654709935,0.0048295259,0.0439932607,0.0050481511,0.1468081027,0.0007464767,0.0782430917,0.1468685120,0.0115624694
23:21:37:02.991,61,0.8500924110,0.2352884859,0.1307168454,0.0000000000,0.0000000000,0.2049808204,0.0000000000,0.8493275642,0.2359273285,0.0000000000,0.0100756874,0.0000000000,0.2049712688,0.0000000000,0.0566239171,0.0000000000,0.0315749459,0.2312195301,0.1215285584,0.1381620169,0.1162914410,0.0000000000,0.0108874347,0.0000000000,0.0033766939,0.0045431508,0.0000000000,0.0329936892,0.0356407389,0.1354299784,0.1612309813,0.0553672202,0.0402886458,0.0922779590,0.0701227188,0.0602379441,0.0546234287,0.1574188918,0.1622097492,0.0749944597,0.0747560710,0.2483826280,0.2483679950,0.1143097207,0.0000000000,0.0000000000,0.0251725223,0.1246106699,0.1280797571,0.0799926445,0.0896764472,0.0000235199,0.0645960271,0.0072830678,0.0497797020,0.0060910773,0.1441224962,0.0008839847,0.0790252835,0.1441826820,0.0114612551
23:21:37:03.991,61,0.8569505811,0.2396630049,0.1253524870,0.0000000000,0.0000000000,0.1871459633,0.0000000000,0.8561862707,0.2402579039,0.0000000000,0.0048734122,0.0000000000,0.1871701032,0.0000000000,0.0594170019,0.0000000000,0.0324609093,0.2417208850,0.1128157303,0.1497018337,0.1129869744,0.0000000000,0.0092914542,0.0000000000,0.0020104172,0.0052488684,0.0000000000,0.0333150923,0.0358917862,0.1381177604,0.1634690315,0.0510218218,0.0379654728,0.0845750645,0.0677381232,0.0566222593,0.0512733385,0.1699054837,0.1722509265,0.0821823031,0.0828515813,0.2507651448,0.2507490814,0.1224303171,0.0000000000,0.0000000000,0.0235063247,0.1251739562,0.1289513856,0.0814855173,0.0913134739,0.0000250703,0.0609954037,0.0125122685,0.0555572622,0.0029449931,0.1467658579,0.0004353542,0.0757527500,0.1468259245,0.0111919092
23:21:37:04.992,61,0.8751978874,0.2402736992,0.1203757823,0.0000000000,0.0000000000,0.1700956523,0.0000000000,0.8748718500,0.2408173680,0.0000000000,0.0002527828,0.0000000000,0.1701137573,0.0000000000,0.0654562265,0.0000000000,0.0350022390,0.2630134821,0.1074205115,0.1643299013,0.1115566343,0.0000000000,0.0082498603,0.0000000000,0.0008691032,0.0058273394,0.0000000000,0.0336870439,0.0361974426,0.1397141665,0.1644345820,0.0478735715,0.0365768522,0.0810385942,0.0664797649,0.0549461469,0.0496763773,0.1844949573,0.1860725135,0.0918363333,0.0931851640,0.3222112656,0.3222027719,0.1288461238,0.0000000000,0.0000000000,0.0223799907,0.1255043000,0.1295156330,0.0859706327,0.0984485224,0.0000277341,0.0585961379,0.0191328693,0.0590324625,0.0001527484,0.1471069753,0.0000226339,0.0727413520,0.1471668780,0.0107731512
23:21:37:05.992,61,0.8806726933,0.2430959791,0.1161442846,0.0000000000,0.0000000000,0.1624984741,0.0000000000,0.8804534078,0.2436014116,0.0039340327,0.0000000000,0.0000000000,0.1625151038,0.0000000000,0.0697952062,0.0000000000,0.0361851603,0.2709589899,0.1043354571,0.1716473997,0.1104010418,0.0000000000,0.0075414018,0.0000000000,0.0000000000,0.0071455478,0.0000826321,0.0340627059,0.0365185477,0.1415873319,0.1650864631,0.0457126461,0.0353849567,0.0790226310,0.0656156540,0.0536384173,0.0484656692,0.1891965270,0.1904269457,0.0963302925,0.0982270464,0.3049389124,0.3049331307,0.1308166385,0.0000000000,0.0000000000,0.0214744005,0.1245569587,0.1292516738,0.0876226127,0.1007851213,0.0000134008,0.0545833632,0.0272106584,0.0600353926,-0.0023766058,0.1488080919,-0.0003562916,0.0701663867,0.1488679349,0.0105143581
