Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
10:00:01:05.970,61,0.9175904393000001,0.3820932508,0.0,0.000438365,0.0,0.0353229158,0.0,0.9175666571,0.3812000453,0.1054592803,0.0,0.0,0.0353194252,0.0,0.0787473395,0.0,0.038158223,0.1525617242,0.1182658523,0.3708692193,0.2089229375,0.0,0.032826319300000004,0.0,0.0,0.0774376914,0.0606545657,0.0733198076,0.0715337098,0.2349134684,0.2580705583,0.0762328058,0.0392063074,0.119773373,0.0709945112,0.1517016292,0.1469586939,0.2041574866,0.2081720084,0.1342477947,0.1415863633,0.09730366619999999,0.10060796890000001,0.270026505,0.0,0.0,0.049417965099999996,0.0984383672,0.10677418109999999,0.3429245353,0.33394688370000003,1.692e-07,-0.10343433169999999,0.3921365142,0.0025560008,-0.0626803637,0.23332856600000002,-0.0148855848,-0.0002605207,0.2334074974,-6.19363e-05
10:00:01:06.971,61,0.9186265469,0.3828478754,0.0018698376,0.0,0.0,0.0345734693,0.0,0.9186023473999999,0.3819847405,0.1032643542,0.0,0.0,0.034570042,0.0,0.0756275058,0.0,0.0385495611,0.1460997015,0.1183307916,0.35551565890000003,0.2077317238,0.0,0.0325582586,0.0,0.0,0.0743867308,0.05549278480000001,0.0730063319,0.0712624788,0.2347576916,0.2582480907,0.0763849095,0.0387155004,0.1203106269,0.0707607865,0.15322835740000001,0.14760519560000002,0.1994469166,0.203575924,0.1236568913,0.1311956942,0.0801032484,0.08333311980000001,0.2870835364,0.0,0.0,0.0492038727,0.0987049043,0.1068378165,0.3442675173,0.3353444636,1.8940000000000002e-07,-0.09986689689999999,0.39152210950000005,0.0015956904999999998,-0.0613688901,0.2337894589,-0.0146044334,0.0011111244,0.23386861379999999,0.0002647007
10:00:01:07.973,61,0.9190450311,0.3847369254,0.0014650724,0.0,0.0,0.0338345394,0.0,0.9190213084000001,0.3838653862,0.10361596199999999,0.0,0.0,0.0338310786,0.0,0.0720775574,0.0,0.0384834297,0.12871417400000001,0.1203613952,0.2825009823,0.2076303959,0.0,0.0322740786,0.0,0.0,0.06945987049999999,0.0478226542,0.0725272074,0.0707770735,0.2327483296,0.2555496693,0.0831533968,0.0385660939,0.1256326288,0.0704630613,0.16727256769999999,0.16104595359999999,0.17766374350000003,0.18254607920000002,0.094339855,0.10010006279999999,0.0632745549,0.0667069107,0.297872752,0.0,0.0,0.0493585095,0.09892866019999999,0.1068134382,0.3451273143,0.33643898369999997,2.572e-07,-0.0963847786,0.3920149207,0.0004022893,-0.061560969800000004,0.23494346440000002,-0.0147251049,0.0008703585000000001,0.23502250019999998,0.0002084052
10:00:01:08.975,61,0.9179440140999999,0.39089170100000004,0.0010912276,0.0,0.0,0.0331309177,0.0,0.917929709,0.3900039792,0.1039423719,0.0,0.0,0.0331274271,0.0,0.0636990964,0.0,0.0357258543,0.0977330357,0.1110361814,0.1445033997,0.20798747239999998,0.0,0.0320517719,0.0,0.0,0.0683189556,0.045547127699999995,0.0664373562,0.0641315281,0.1860581338,0.20359762010000002,0.11727081240000001,0.0383951068,0.1557647884,0.0708033964,0.2113893479,0.2092809975,0.1103835478,0.1145210862,0.054861553,0.05696027730000001,0.0490042865,0.05166425559999999,0.3023977876,0.0,0.0,0.0522321165,0.0986491367,0.10628104949999999,0.3420702517,0.3364940584,3.318e-07,-0.093412146,0.39425176380000004,-0.0011377,-0.0616990589,0.23870289329999997,-0.0150033431,0.0006476797,0.23878222699999999,0.0001576623
10:00:01:09.976,61,0.9160155058,0.3927428722,0.0011992689,0.0,0.0,0.0324180499,0.0,0.9160137773,0.39185395840000004,0.1037993655,0.0,0.0,0.0324145444,0.0,0.0588951632,0.0,0.0320780985,0.0875020474,0.10046103599999999,0.10381420699999999,0.20777712760000003,0.0,0.031687259700000005,0.0,0.0,0.070955202,0.0457520112,0.0624845251,0.0601640455,0.1735318452,0.1896483451,0.1266975552,0.0382291302,0.1642885208,0.0716300085,0.2237859368,0.2225913852,0.0914886817,0.09545155609999999,0.0423240289,0.0434368663,0.0347407535,0.0369455293,0.30477142329999996,0.0,0.0,0.054531328399999995,0.09635083380000001,0.1027221233,0.3227841258,0.32623469829999996,3.524e-07,-0.0909288451,0.3985048532,-0.0016492198999999998,-0.0615971945,0.2398337275,-0.0150523484,0.0007116093,0.23991303149999998,0.0001740771
10:00:01:10.979,61,0.9122616053,0.40162014960000003,0.0024645315,0.0,0.0,0.0317491107,0.0,0.9122718573,0.40073594450000005,0.1024096385,0.0,0.0,0.0317457058,0.0,0.055761829000000006,0.0,0.026219314,0.0820508376,0.09452369810000001,0.08689183,0.2068440318,0.0,0.031235912799999998,0.0,0.0,0.0721454695,0.0457664058,0.060618773099999995,0.0583127737,0.16557787359999998,0.18024323879999998,0.1318694502,0.038298651600000004,0.16868641969999998,0.07234377410000001,0.23059386010000002,0.2297832668,0.0839922875,0.0876033753,0.0358831771,0.0365715325,0.0150381122,0.017205692800000002,0.3118149638,0.0,0.0,0.058126986,0.09351924060000001,0.0998110026,0.3038906455,0.3088230491,3.672e-07,-0.0888103768,0.4023127556,-0.0021826618,-0.0606910959,0.2452564985,-0.0151802013,0.0014604157,0.24533605579999998,0.00036565839999999996
10:00:01:11.980,61,0.9097780584999999,0.41878208520000004,0.0042645973,0.0,0.0,0.031175352599999998,0.0,0.909787178,0.4178986549,0.1004265547,0.0,0.0,0.0311721433,0.0,0.05414759,0.0,0.0234481171,0.079092443,0.0901141614,0.0798981041,0.2049550414,0.0,0.0312548652,0.0,0.0,0.07309736309999999,0.045934278499999995,0.0597113073,0.057508673499999996,0.1589850634,0.17447294289999998,0.143425107,0.0387749411,0.17333035170000002,0.0769712329,0.26679688690000003,0.2602019906,0.08353970940000001,0.08693245050000001,0.0326780304,0.0332739763,0.0054882633999999994,0.007627006600000001,0.3409626782,0.0,0.0,0.0617525876,0.09250842029999999,0.0988146141,0.2974117696,0.3032792807,3.183e-07,-0.086156033,0.4064081907,-0.0035681284000000004,-0.0593566224,0.2557401657,-0.0155093493,0.0025203153,0.2558202446,0.0006591901
10:00:01:12.982,61,0.9074812531,0.42879593369999996,0.0051987339,0.0,0.0,0.030739408,0.0,0.9074864387999999,0.4279136658,0.0992930159,0.0,0.0,0.0307364129,0.0,0.0530624054,0.0,0.0217283331,0.0764301419,0.0805008411,0.0758302212,0.19857133920000003,0.0,0.0313368663,0.0,0.0,0.08791361,0.05099417269999999,0.059384644,0.0573730841,0.1548462659,0.1714096218,0.1472728848,0.039204854500000004,0.1827043891,0.08619382980000001,0.2793933749,0.27344319219999996,0.08273012190000001,0.0861416608,0.031090432799999998,0.031781878300000004,0.0,0.0010835249,0.3489141464,0.0011469424,0.0,0.066441834,0.0911678001,0.0979100764,0.2900920808,0.29710492489999996,3.023e-07,-0.0826282203,0.4094427228,-0.005847521600000001,-0.0585918054,0.2618575096,-0.0156930033,0.0030674033000000003,0.2619378269,0.0008223617
10:00:01:13.983,61,0.9060379863,0.42955270409999996,0.0053766225,0.0,0.0,0.030335053799999998,0.0,0.9060451387999999,0.42867279049999996,0.0990726203,0.0,0.0,0.030332192799999998,0.0,0.052079238,0.0,0.0206573047,0.0744889379,0.0765492544,0.0739771202,0.1907408237,0.0,0.0310993288,0.0,0.0,0.08070153,0.047703351799999995,0.0592155233,0.0573249608,0.1526813656,0.1695014685,0.1487894058,0.039461948,0.18550600109999998,0.0890929326,0.284719795,0.27877104280000004,0.0827769488,0.0862006694,0.0304638632,0.0312725119,0.0,0.0,0.3526633382,0.0048116352,0.0025616009,0.0683991909,0.09025568519999999,0.0971051082,0.2859551609,0.2930928767,2.834e-07,-0.079139024,0.4109907448,-0.008299008,-0.0584544912,0.26231992239999996,-0.0156852249,0.0031719692,0.2624001801,0.0008519678
10:00:01:14.985,61,0.9056050777,0.436003536,0.009295428199999999,0.0,0.0,0.029815796800000002,0.0,0.9056121706999999,0.435174346,0.09529487789999999,0.0,0.0,0.029813108999999997,0.0,0.051255650800000004,0.0,0.0201811437,0.0728482902,0.0741690323,0.0733078271,0.18348334730000002,0.0,0.0309229046,0.0,0.0,0.054143399,0.0196521617,0.0592511371,0.057476140599999996,0.1517754793,0.16873343289999998,0.14940491320000002,0.0396107882,0.1873214841,0.0909345001,0.2879365385,0.282048136,0.08468808230000001,0.0872946233,0.030446328199999997,0.031412467400000005,0.0,0.0,0.37470909950000003,0.006769193299999999,0.0044993535,0.0694780126,0.0900519788,0.0969781503,0.2879574597,0.2942563593,2.1670000000000003e-07,-0.07667768,0.4138619006,-0.0088127684,-0.0561653711,0.2662629187,-0.0153092369,0.0054780422,0.266343534,0.0014945412
