Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:19:29:21.448,61,0.1783047020,0.1662237048,0.0966538787,0.0000000000,0.0000000000,0.0457983017,0.0000000000,0.1782819331,0.1664933413,0.0281921942,0.0000000000,0.0000000000,0.0457941145,0.0000000000,0.0111985318,0.0000000000,0.0142988507,0.0411875769,0.0523518994,0.0236289818,0.0537748709,0.0000000000,0.0020922620,0.0526207834,0.0632746965,0.0000000000,0.0000000000,0.0209797118,0.0218532868,0.0479720868,0.0515943728,0.0248323623,0.0164815038,0.0634160638,0.0370776094,0.0262823515,0.0255256519,0.0389991999,0.0361417122,0.0142451683,0.0152020575,0.0000000000,0.0000000000,0.0388767011,0.0037894421,0.0040305210,0.0129665649,0.0343857780,0.0316869356,0.0419414788,0.0463470295,0.0000000020,0.0116905877,-0.0664419234,0.0426809750,-0.0171326324,0.1017199680,-0.0017486792,0.0587380305,0.1017163098,0.0059917872
23:19:29:22.448,61,0.1782701910,0.1670116335,0.0947450176,0.0000000000,0.0000000000,0.0454747975,0.0000000000,0.1782463491,0.1672676355,0.0301393755,0.0000000000,0.0000000000,0.0454707034,0.0000000000,0.0111533897,0.0000000000,0.0142171625,0.0410833061,0.0522068404,0.0234965682,0.0538344979,0.0000000000,0.0023524249,0.0526557341,0.0634353384,0.0000000000,0.0000000000,0.0208815616,0.0217595585,0.0478425846,0.0514981523,0.0247907545,0.0164436679,0.0634367093,0.0370816588,0.0262455940,0.0255025756,0.0388020687,0.0359640978,0.0141583579,0.0151191987,0.0000000000,0.0000000000,0.0387114100,0.0038661850,0.0041021635,0.0130008748,0.0342315696,0.0315707140,0.0419044606,0.0462611355,0.0000000375,0.0104693864,-0.0686045438,0.0427075922,-0.0183150619,0.1021951810,-0.0018781471,0.0575751774,0.1021915376,0.0059009325
23:19:29:23.448,61,0.1784204245,0.1692592055,0.0924515575,0.0000000000,0.0000000000,0.0452351831,0.0000000000,0.1783962995,0.1695005298,0.0324284770,0.0000000000,0.0000000000,0.0452312529,0.0000000000,0.0110961776,0.0000000000,0.0139797749,0.0409108214,0.0519991145,0.0233730786,0.0537435934,0.0000000000,0.0024166103,0.0528863557,0.0636607334,0.0000000000,0.0000000000,0.0207889844,0.0216650851,0.0477627814,0.0514196344,0.0247130524,0.0163694937,0.0634849221,0.0371192731,0.0262114238,0.0254858788,0.0385311767,0.0357013531,0.0140974429,0.0150548713,0.0000000000,0.0000000000,0.0384499244,0.0034934804,0.0037257751,0.0129907345,0.0341275260,0.0315067582,0.0419348627,0.0462333225,0.0000000439,0.0074257995,-0.0661474168,0.0425849631,-0.0197033230,0.1035621688,-0.0020477099,0.0561735258,0.1035585180,0.0058349953
23:19:29:24.449,61,0.1782771200,0.1698304415,0.0899610147,0.0000000000,0.0000000000,0.0452555604,0.0000000000,0.1782526076,0.1700529307,0.0349417068,0.0000000000,0.0000000000,0.0452517755,0.0000000000,0.0110532111,0.0000000000,0.0137412343,0.0407274328,0.0517896749,0.0233217739,0.0537187792,0.0000000000,0.0023076884,0.0529867858,0.0635179132,0.0000000000,0.0000000000,0.0206592586,0.0215264056,0.0476992428,0.0513523929,0.0246494282,0.0162641425,0.0637382865,0.0373112001,0.0262278300,0.0255138781,0.0382155329,0.0353835337,0.0140873371,0.0150333233,0.0000000000,0.0000000000,0.0381663553,0.0027073971,0.0029412094,0.0129795372,0.0341816247,0.0315808132,0.0420738049,0.0462895595,0.0000000568,0.0057146545,-0.0626844093,0.0434371494,-0.0212295987,0.1039029360,-0.0022136199,0.0546583049,0.1038992554,0.0056965812
23:19:29:25.449,61,0.1783700287,0.1722344011,0.0871838182,0.0000000000,0.0000000000,0.0452889986,0.0000000000,0.1783455759,0.1724376082,0.0377635956,0.0000000000,0.0000000000,0.0452853478,0.0000000000,0.0109767336,0.0000000000,0.0134547576,0.0404447727,0.0514484458,0.0231779478,0.0536144152,0.0000000000,0.0022000435,0.0532452203,0.0635139197,0.0000000000,0.0000000000,0.0205072444,0.0213611498,0.0475939140,0.0512327328,0.0245467704,0.0161282979,0.0640006810,0.0375034846,0.0262429360,0.0255415253,0.0377723314,0.0349541828,0.0140340673,0.0149610518,0.0000000000,0.0000000000,0.0378134996,0.0016589193,0.0018986640,0.0129541336,0.0342072323,0.0316280164,0.0422274135,0.0463526472,0.0000000662,0.0036048833,-0.0591093376,0.0457428172,-0.0229405817,0.1053639874,-0.0024258783,0.0529627986,0.1053603068,0.0055982405
23:19:29:26.449,61,0.1782254577,0.1727304310,0.0869680941,0.0000000000,0.0000000000,0.0452612266,0.0000000000,0.1782001555,0.1729323566,0.0380367301,0.0000000000,0.0000000000,0.0452577025,0.0000000000,0.0109296506,0.0000000000,0.0131308557,0.0402613729,0.0512404628,0.0230922457,0.0537066869,0.0000000000,0.0020820796,0.0534892268,0.0635452420,0.0000000000,0.0000000000,0.0203741081,0.0212163310,0.0475144573,0.0511291400,0.0244821813,0.0160281751,0.0642535314,0.0376667827,0.0262702424,0.0255829468,0.0374388024,0.0346184857,0.0139965191,0.0149093606,0.0000000000,0.0000000000,0.0374701433,0.0004556179,0.0007068189,0.0129429754,0.0342780240,0.0317125507,0.0424648337,0.0465053059,0.0000000395,0.0016390169,-0.0552514158,0.0472798236,-0.0231057685,0.1056666747,-0.0024504142,0.0528300516,0.1056629866,0.0056003844
23:19:29:27.449,61,0.1796438098,0.1761611253,0.0849453509,0.0000000000,0.0000000000,0.0454474613,0.0000000000,0.1796265095,0.1763501465,0.0401374847,0.0000000000,0.0000000000,0.0454440489,0.0000000000,0.0109433196,0.0000000000,0.0128307994,0.0402621217,0.0512173511,0.0231177472,0.0540465452,0.0000000000,0.0021101974,0.0534553379,0.0634588301,0.0000000000,0.0000000000,0.0202905722,0.0211211797,0.0475674942,0.0511544123,0.0245295800,0.0160052050,0.0646077245,0.0378436483,0.0264162831,0.0257460512,0.0371679291,0.0343549736,0.0139446808,0.0148490295,0.0010615783,0.0007568290,0.0372242816,0.0000000000,0.0000000000,0.0129863694,0.0344923586,0.0319321379,0.0428825393,0.0468630865,0.0000000427,0.0011842543,-0.0544136390,0.0483320393,-0.0243764371,0.1077583283,-0.0026367116,0.0515897423,0.1077546477,0.0055781170
23:19:29:28.449,61,0.1814572066,0.1790041029,0.0806325749,0.0000000000,0.0000000000,0.0460774191,0.0000000000,0.1814492047,0.1791603118,0.0444180220,0.0000000000,0.0000000000,0.0460742451,0.0000000000,0.0110485265,0.0000000000,0.0125291953,0.0406701677,0.0516682975,0.0233080797,0.0553897321,0.0000000000,0.0021606726,0.0534427688,0.0633294359,0.0000000000,0.0000000000,0.0203061011,0.0211263914,0.0478259288,0.0513850898,0.0247142836,0.0161227770,0.0648944303,0.0378899388,0.0266018454,0.0259594172,0.0371539667,0.0343159884,0.0138723301,0.0147688827,0.0019606063,0.0016464507,0.0371430442,0.0000000000,0.0000000000,0.0130773401,0.0348678268,0.0323085077,0.0433901884,0.0473440252,0.0000000290,0.0007902464,-0.0519290864,0.0493431725,-0.0269710515,0.1094827801,-0.0029643530,0.0489612259,0.1094791144,0.0053795488
23:19:29:29.449,61,0.1836267412,0.1804200411,0.0777192041,0.0000000000,0.0000000000,0.0470445864,0.0000000000,0.1836259514,0.1805532724,0.0472652912,0.0000000000,0.0000000000,0.0470415875,0.0000000000,0.0112248911,0.0000000000,0.0122768870,0.0412399098,0.0522774011,0.0236602258,0.0586074926,0.0000000000,0.0023138504,0.0530457385,0.0628576651,0.0000000000,0.0000000000,0.0203567408,0.0211657044,0.0481356233,0.0516682416,0.0250390749,0.0163164418,0.0654134080,0.0380413420,0.0269384179,0.0263272431,0.0372091271,0.0343398042,0.0138255302,0.0147142513,0.0030705868,0.0027497793,0.0370810516,0.0000000000,0.0000000000,0.0132590951,0.0354410671,0.0328591019,0.0442878827,0.0481991619,0.0000000197,-0.0000969451,-0.0474168360,0.0506316163,-0.0286972430,0.1103393510,-0.0031789010,0.0471876971,0.1103356481,0.0052257297
23:19:30:00.450,61,0.1864802539,0.1838135421,0.0755248442,0.0000000000,0.0000000000,0.0475718603,0.0000000000,0.1864811480,0.1839305460,0.0494341180,0.0000000000,0.0000000000,0.0475689471,0.0000000000,0.0113353059,0.0000000000,0.0121306535,0.0416491255,0.0527152792,0.0239896998,0.0599757247,0.0000000000,0.0026234419,0.0526757799,0.0624894910,0.0000000000,0.0000000000,0.0203824956,0.0211895928,0.0484335572,0.0519965179,0.0252717007,0.0164269526,0.0659943521,0.0382838733,0.0272607878,0.0266634617,0.0371658430,0.0343088098,0.0138121219,0.0147036342,0.0041373847,0.0038118507,0.0370598398,0.0000000000,0.0000000000,0.0134038897,0.0358689018,0.0332887694,0.0449612327,0.0488386601,0.0000000145,-0.0005033849,-0.0445206128,0.0518038161,-0.0300071202,0.1124076024,-0.0033867857,0.0458447672,0.1124038994,0.0051730853
