Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:20:19:28.663,61,0.2486565709,0.2312458605,0.0788374543,0.0000000000,0.0000000000,0.1165450811,0.0000000000,0.2484494001,0.2314053029,0.0443216227,0.0000000000,0.0000000000,0.1165453270,0.0000000000,0.0332485363,0.0000000000,0.0392834246,0.2011089176,0.0747632459,0.1586807221,0.0741007254,0.0000000000,0.0097805709,0.0105701238,0.0335400477,0.0000000000,0.0000000000,0.0261512622,0.0278325398,0.0967092142,0.1122049391,0.0395334102,0.0253446959,0.0563341640,0.0556316152,0.0393191986,0.0381056331,0.2143719345,0.2178227901,0.0974028483,0.1043099314,0.1354452670,0.1354434639,0.0667015538,0.0000000000,0.0000000000,0.0199481491,0.0743634999,0.0753128156,0.0649394616,0.0694464445,0.0000001578,-0.0221165605,-0.0733966306,0.0180334635,-0.0268044248,0.1414086223,-0.0038153692,0.0476789996,0.1414218545,0.0067854929
23:20:19:29.663,61,0.2748627365,0.2593345642,0.0724331290,0.0000000000,0.0000000000,0.1152968854,0.0000000000,0.2748602629,0.2594389915,0.0509451739,0.0000000000,0.0000000000,0.1152931228,0.0000000000,0.0363669246,0.0000000000,0.0420684069,0.2116491795,0.0715285242,0.1611265987,0.0709819868,0.0000000000,0.0100789964,0.0109775187,0.0326673314,0.0000000000,0.0000000000,0.0271303393,0.0288174264,0.1013361141,0.1172698885,0.0386625230,0.0251081381,0.0552551970,0.0551513061,0.0390214920,0.0376712643,0.2179875374,0.2214693278,0.1059044302,0.1112994403,0.1867142320,0.1867133081,0.0759755224,0.0000000000,0.0000000000,0.0192651786,0.0761640146,0.0779446438,0.0671880543,0.0711385757,0.0000000851,-0.0257548951,-0.0644254312,0.0178224873,-0.0307305101,0.1585577428,-0.0049129957,0.0436924659,0.1585711092,0.0069846869
23:20:20:00.663,61,0.3217626810,0.2733006477,0.0653611198,0.0000000000,0.0000000000,0.1242795885,0.0000000000,0.3216069341,0.2733255625,0.0577823333,0.0000000000,0.0000000000,0.1242488101,0.0000000000,0.0464026257,0.0000000000,0.0432569683,0.2693407834,0.0702654272,0.1628675014,0.0695547014,0.0000000000,0.0101295067,0.0108989393,0.0306337141,0.0000000000,0.0000000000,0.0281803496,0.0297165811,0.1131560355,0.1271427125,0.0380656868,0.0249228366,0.0551319681,0.0550962351,0.0388273112,0.0373559445,0.2155748159,0.2173510343,0.1089279950,0.1137878224,0.2373921275,0.2373926491,0.0814111009,0.0000000000,0.0000000000,0.0185966101,0.0855144486,0.0894993469,0.0700213239,0.0736485124,0.0000000724,-0.0294386670,-0.0520079918,0.0163002331,-0.0348061621,0.1670672148,-0.0058684298,0.0393714160,0.1670805812,0.0066382899
23:20:20:01.663,61,0.4172719121,0.3292975426,0.0619793646,0.0000000000,0.0000000000,0.1300783604,0.0000000000,0.4166582525,0.3292821348,0.0610755272,0.0000000000,0.0000000000,0.1300046295,0.0000000000,0.0511309095,0.0000000000,0.0439252667,0.2852690816,0.0695614293,0.1671555042,0.0691063553,0.0000000000,0.0100424457,0.0094983373,0.0181659907,0.0000000000,0.0000000000,0.0289511681,0.0304206554,0.1171064377,0.1305717528,0.0376067273,0.0247006137,0.0554588623,0.0553014092,0.0387348682,0.0371355489,0.2155869901,0.2169541121,0.1130004898,0.1163813621,0.3263275027,0.3263214529,0.0863550156,0.0000000000,0.0000000000,0.0179314185,0.0907178968,0.0941253155,0.0794905946,0.0819192752,0.0000000463,-0.0365446769,-0.0389313400,0.0144503964,-0.0365563594,0.2012833506,-0.0074573979,0.0370972678,0.2012968510,0.0075682062
23:20:20:02.663,61,0.4920825660,0.3787074685,0.0683024377,0.0000000000,0.0000000000,0.1328405887,0.0000000000,0.4915228784,0.3787955344,0.0552070104,0.0000000000,0.0000000000,0.1327669919,0.0000000000,0.0583108589,0.0000000000,0.0441750251,0.2962765694,0.0693834722,0.1699632257,0.0688521862,0.0000000000,0.0095450375,0.0078631211,0.0115410276,0.0000000000,0.0000000000,0.0296695046,0.0310757104,0.1260109693,0.1377938390,0.0370978303,0.0244432520,0.0556475259,0.0553083271,0.0384837501,0.0367782228,0.2172711194,0.2175708115,0.1175723001,0.1191645265,0.3535702229,0.3535619676,0.0942261741,0.0000000000,0.0000000000,0.0172875710,0.0931502432,0.0966199934,0.0832843110,0.0853454992,0.0000002243,-0.0436271057,-0.0285789035,0.0132081760,-0.0328249037,0.2315200269,-0.0077368380,0.0406114571,0.2315336019,0.0095717004
23:20:20:03.663,61,0.5247406960,0.4062620699,0.0653573498,0.0000000000,0.0000000000,0.1344461441,0.0000000000,0.5244325995,0.4063081145,0.0577409863,0.0000000000,0.0000000000,0.1343730390,0.0000000000,0.0653503835,0.0000000000,0.0443693809,0.3139579892,0.0701467842,0.1712992042,0.0686277896,0.0000000000,0.0088015851,0.0069207302,0.0083366316,0.0000000000,0.0000000000,0.0304731354,0.0317881964,0.1379807442,0.1504779458,0.0366091803,0.0242579840,0.0556302555,0.0550554357,0.0381505080,0.0363573954,0.2216663659,0.2199753523,0.1199941188,0.1205496565,0.2969919145,0.2969560027,0.1033568308,0.0000000000,0.0000000000,0.0167176258,0.0947758332,0.0983481333,0.0880916044,0.0897362083,0.0000005253,-0.0463633873,-0.0193373859,0.0121644847,-0.0341906697,0.2483476847,-0.0086682541,0.0387007557,0.2483612746,0.0098116333
23:20:20:04.663,61,0.6163155437,0.4308563471,0.0695845187,0.0000000000,0.0000000000,0.1368566900,0.0000000000,0.6144994497,0.4309880137,0.0532654747,0.0000000000,0.0000000000,0.1367990971,0.0000000000,0.0712063015,0.0000000000,0.0441846177,0.3285549283,0.0706409365,0.1718863696,0.0684697032,0.0000000000,0.0077701351,0.0064336229,0.0064974581,0.0000000000,0.0000000000,0.0311941691,0.0324603692,0.1530352682,0.1640942097,0.0360714756,0.0239326488,0.0556550995,0.0548593439,0.0378088839,0.0359295979,0.2314078659,0.2267781794,0.1267809868,0.1243386194,0.2761362195,0.2760210931,0.1233343929,0.0000000000,0.0000000000,0.0162057802,0.0958907753,0.0995455012,0.0925687477,0.0947609395,0.0000005346,-0.0481059626,-0.0109337093,0.0115775373,-0.0314164832,0.2634086907,-0.0084706377,0.0410421528,0.2634222806,0.0110650724
23:20:20:05.664,61,0.7616969347,0.4085572064,0.0710717812,0.0000000000,0.0000000000,0.1376550943,0.0000000000,0.7550892830,0.4087140858,0.0510384105,0.0000000000,0.0000000000,0.1376040131,0.0000000000,0.0775659233,0.0000000000,0.0438719615,0.3379659355,0.0714222267,0.1728392690,0.0692545101,0.0000000000,0.0067108171,0.0047715744,0.0047884304,0.0000000000,0.0000000000,0.0318845361,0.0330983587,0.1633082330,0.1723908484,0.0355254412,0.0235966016,0.0557929985,0.0546884201,0.0376920961,0.0357081927,0.2359364033,0.2318956852,0.1292214394,0.1267620772,0.2727924287,0.2726873457,0.1312379092,0.0000000000,0.0000000000,0.0158282183,0.0962239057,0.1000306979,0.0959628075,0.1004230380,0.0000005429,-0.0483738296,0.0006932624,0.0118293893,-0.0302106068,0.2497856319,-0.0077058114,0.0420693755,0.2497991025,0.0107294973
23:20:20:06.663,61,0.8672267795,0.3651449382,0.0773836449,0.0000000000,0.0000000000,0.1292141527,0.0000000000,0.8658910394,0.3653888106,0.0442517139,0.0000000000,0.0000000000,0.1291957051,0.0000000000,0.0828809738,0.0000000000,0.0435260497,0.3444182277,0.0720317066,0.1746024340,0.0740946606,0.0000000000,0.0058814287,0.0035702055,0.0036773281,0.0000000000,0.0000000000,0.0325472876,0.0337207615,0.1695717573,0.1771444231,0.0348573141,0.0232167151,0.0560274012,0.0545263179,0.0378584564,0.0357881337,0.2398675233,0.2350463122,0.1336037219,0.1328474134,0.3113237619,0.3112713397,0.1349445134,0.0000000000,0.0000000000,0.0154983001,0.0961487368,0.1002641991,0.1043708622,0.1139635220,0.0000004322,-0.0477944687,0.0189408846,0.0143211447,-0.0263611078,0.2232822180,-0.0059850076,0.0460990667,0.2232955992,0.0104641970
23:20:20:07.664,61,0.9063937664,0.3151529729,0.0770569369,0.0000000000,0.0000000000,0.1091310754,0.0000000000,0.9060827494,0.3153623044,0.0437597446,0.0000000000,0.0000000000,0.1091360971,0.0000000000,0.1089084074,0.0000000000,0.0431616157,0.3960427940,0.0756059587,0.1780384034,0.0805319026,0.0000000000,0.0051542278,0.0026118103,0.0030492221,0.0000000000,0.0000000000,0.0335346907,0.0345271416,0.1956843138,0.2018155754,0.0341478996,0.0228233263,0.0564614721,0.0544249304,0.0383235365,0.0361713022,0.2933666110,0.2857640684,0.1535103172,0.1532620639,0.3637579381,0.3637410998,0.1364767253,0.0000000000,0.0000000000,0.0152229276,0.0961503461,0.1006969884,0.1384253651,0.1545539498,0.0000003160,-0.0491313450,0.0401655398,0.0175112151,-0.0262367018,0.1927110255,-0.0051190048,0.0462011807,0.1927242428,0.0090125399
