Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:21:16:05.902,61,0.2351294458,0.2477052361,0.0768339112,0.0000000000,0.0000000000,0.1206514016,0.0000000000,0.2348506898,0.2477934062,0.0486413650,0.0000000000,0.0000000000,0.1205270216,0.0000000000,0.0231452808,0.0000000000,0.0100290189,0.1009613276,0.1149884537,0.1133292466,0.1283182353,0.0000000000,0.0041230246,0.0000000000,0.0000000000,0.0090481928,0.0147482911,0.0148793897,0.0151854744,0.0883209184,0.0949833170,0.0516803116,0.0191600025,0.0982225388,0.0563544482,0.0412500985,0.0374875143,0.0846143439,0.0757694691,0.0273257568,0.0272452906,0.1252482831,0.1240127683,0.1736101955,0.0000000000,0.0000000000,0.0167691056,0.1074188948,0.0989352241,0.0787125304,0.0824463516,0.0000002991,-0.0446208604,-0.0191724580,-0.0152636487,-0.0293734707,0.1514341980,-0.0044817911,0.0463984869,0.1514787823,0.0070799841
23:21:16:06.902,61,0.2317395508,0.2440208495,0.0682238936,0.0000000000,0.0000000000,0.1225990131,0.0000000000,0.2314641178,0.2440092862,0.0573361330,0.0000000000,0.0000000000,0.1224788278,0.0000000000,0.0254777558,0.0000000000,0.0102186901,0.1090499014,0.1172538772,0.1172313392,0.1289029866,0.0000000000,0.0036308256,0.0000000000,0.0000000000,0.0089785932,0.0150770862,0.0158972796,0.0161469355,0.0924198776,0.0987262726,0.0522288755,0.0201283135,0.0978373140,0.0566735007,0.0417944081,0.0380521081,0.0906801075,0.0808419511,0.0305950735,0.0302528646,0.1200265363,0.1187296063,0.1820925474,0.0000000000,0.0000000000,0.0170155503,0.1094534546,0.1018446982,0.0797309428,0.0832697451,0.0000000340,-0.0403709412,-0.0164157264,-0.0077801244,-0.0346361287,0.1491469294,-0.0052034329,0.0412131920,0.1491914988,0.0061928537
23:21:16:07.902,61,0.2585586905,0.2512211800,0.0641214475,0.0000000000,0.0000000000,0.1223775521,0.0000000000,0.2580347657,0.2511640489,0.0613840222,0.0000000000,0.0000000000,0.1222704053,0.0000000000,0.0267052688,0.0000000000,0.0107073169,0.1137335598,0.1177623644,0.1250383556,0.1325393468,0.0000000000,0.0036435835,0.0000000000,0.0000000000,0.0088588875,0.0151409050,0.0166547149,0.0168960560,0.0945990831,0.1008860543,0.0521905757,0.0207512602,0.0973414853,0.0569625981,0.0421161093,0.0383943059,0.0940623209,0.0839668661,0.0355661698,0.0356082022,0.1157755703,0.1144677997,0.1864699274,0.0000000000,0.0000000000,0.0172010530,0.1102177352,0.1031067222,0.0805248320,0.0838923752,0.0000000327,-0.0438658595,-0.0127430689,-0.0022721193,-0.0370566770,0.1535336226,-0.0057332017,0.0387090072,0.1535782814,0.0059904791
23:21:16:08.902,61,0.2638097107,0.2538952231,0.0596495569,0.0000000000,0.0000000000,0.1213092729,0.0000000000,0.2632612586,0.2537861466,0.0658191517,0.0000000000,0.0000000000,0.1212163717,0.0000000000,0.0275720786,0.0000000000,0.0111536635,0.1161462218,0.1179386377,0.1277645379,0.1404207200,0.0000000000,0.0036480413,0.0000000000,0.0000000000,0.0090489639,0.0161785875,0.0172344036,0.0174740851,0.0956671834,0.1020311862,0.0520894192,0.0212481562,0.0972176716,0.0574006960,0.0424012430,0.0386962518,0.0955626890,0.0854898840,0.0376437195,0.0377427600,0.1080150753,0.1067517400,0.1882557273,0.0000000000,0.0000000000,0.0174090974,0.1103070378,0.1034905910,0.0811195299,0.0842620656,0.0000000355,-0.0446812585,-0.0129047306,-0.0014196367,-0.0397241749,0.1551525444,-0.0062115290,0.0360002816,0.1551971436,0.0056311581
23:21:16:09.903,61,0.2665419281,0.2599925697,0.0563723892,0.0000000000,0.0000000000,0.1162249073,0.0000000000,0.2659669518,0.2598426640,0.0691856369,0.0000000000,0.0000000000,0.1161393002,0.0000000000,0.0282652341,0.0000000000,0.0132193360,0.1215697229,0.1147454530,0.1405212283,0.1429718286,0.0000000000,0.0036122291,0.0000000000,0.0000000000,0.0091658188,0.0194768142,0.0177576281,0.0179915130,0.0963440239,0.1029424891,0.0517140441,0.0215487629,0.0970352814,0.0579688810,0.0425845720,0.0388739258,0.0966645926,0.0867202803,0.0440339036,0.0431593433,0.0959147513,0.0945896730,0.1894266456,0.0000000000,0.0000000000,0.0175381247,0.1101198494,0.1033899412,0.0816654116,0.0845034420,0.0000000283,-0.0443328358,-0.0140728401,0.0006973207,-0.0417315066,0.1588683426,-0.0066841217,0.0340023749,0.1589130759,0.0054482673
23:21:16:10.903,61,0.2684519589,0.2663305700,0.0544157177,0.0000000000,0.0000000000,0.1137712300,0.0000000000,0.2678453922,0.2661546767,0.0711635426,0.0000000000,0.0000000000,0.1136836261,0.0000000000,0.0288339201,0.0000000000,0.0142204529,0.1241004989,0.1134664714,0.1450058669,0.1444422752,0.0000000000,0.0034854000,0.0000000000,0.0000000000,0.0095554274,0.0238309242,0.0182084981,0.0184351709,0.0969552100,0.1037598550,0.0511937253,0.0217516571,0.0967624933,0.0584134236,0.0426483154,0.0389408059,0.0973142907,0.0875375792,0.0465736762,0.0453411639,0.0872172937,0.0857096463,0.1897179186,0.0000000000,0.0000000000,0.0176118184,0.1096481681,0.1026845500,0.0820773914,0.0845891088,0.0000001063,-0.0455670692,-0.0147867342,0.0048972848,-0.0428976901,0.1627356857,-0.0070409947,0.0328015648,0.1627804339,0.0053861011
23:21:16:11.903,61,0.2660602629,0.2707825601,0.0519640818,0.0000000000,0.0000000000,0.1103086919,0.0000000000,0.2651721239,0.2705743313,0.0736290514,0.0000000000,0.0000000000,0.1102231443,0.0000000000,0.0294662397,0.0000000000,0.0149664944,0.1293073148,0.1129143834,0.1471205652,0.1454709172,0.0000000000,0.0032381131,0.0000000000,0.0000000000,0.0095618078,0.0254554600,0.0186598897,0.0188797936,0.0974610522,0.1044682637,0.0507447086,0.0220561177,0.0962032974,0.0585594587,0.0426352546,0.0389416069,0.0982156768,0.0890228599,0.0481049009,0.0467052907,0.0777344257,0.0761883631,0.1903796494,0.0000000000,0.0000000000,0.0176632646,0.1090821773,0.1020310894,0.0825585201,0.0847696215,0.0000001073,-0.0434139408,-0.0117130484,0.0090437410,-0.0443640575,0.1654487550,-0.0074051274,0.0313096344,0.1654935181,0.0052284682
23:21:16:12.903,61,0.2682768404,0.2787582576,0.0483705252,0.0000000000,0.0000000000,0.1092161387,0.0000000000,0.2672156692,0.2784999609,0.0772310868,0.0000000000,0.0000000000,0.1091240793,0.0000000000,0.0302528590,0.0000000000,0.0176237654,0.1338676959,0.1126210466,0.1483567506,0.1455353498,0.0000000000,0.0030606277,0.0000000000,0.0000000000,0.0096654315,0.0274038166,0.0191527344,0.0193666611,0.0988386646,0.1091470495,0.0504374169,0.0223672669,0.0957223698,0.0587451756,0.0426294282,0.0389163867,0.0990002975,0.0906916112,0.0491827205,0.0476712771,0.0725643039,0.0709363744,0.1923957020,0.0000000000,0.0000000000,0.0176563542,0.1087924391,0.1015109718,0.0829666629,0.0848200768,0.0000001158,-0.0401137099,-0.0015838183,0.0133955004,-0.0464962088,0.1703118086,-0.0079932669,0.0291203931,0.1703566313,0.0050086570
23:21:16:13.903,61,0.3030254543,0.2960383892,0.0456564650,0.0000000000,0.0000000000,0.1076313034,0.0000000000,0.3025654256,0.2957326174,0.0798933059,0.0000000000,0.0000000000,0.1075416580,0.0000000000,0.0310407653,0.0000000000,0.0188452657,0.1435683966,0.1120996401,0.1510386020,0.1454609632,0.0000000000,0.0026947432,0.0000000000,0.0000000000,0.0094978623,0.0282491092,0.0196612980,0.0198799614,0.0999229550,0.1110709310,0.0499131978,0.0226360541,0.0950772688,0.0589221418,0.0425827987,0.0388578437,0.1054847166,0.0975088924,0.0543275215,0.0521274768,0.0697129369,0.0681083426,0.1854923666,0.0000000000,0.0000000000,0.0175543856,0.1081062108,0.1008319333,0.0835614279,0.0851591229,0.0000001248,-0.0368083082,0.0075714486,0.0169483814,-0.0480092280,0.1808634847,-0.0087754531,0.0274350382,0.1809084266,0.0050174212
23:21:16:14.904,61,0.3297437131,0.3115831614,0.0445936322,0.0000000000,0.0000000000,0.1102906242,0.0000000000,0.3275775015,0.3112531006,0.0806866065,0.0000000000,0.0000000000,0.1101425216,0.0000000000,0.0362002216,0.0000000000,0.0196443722,0.1688882113,0.1118722782,0.1549794674,0.1370121241,0.0000000000,0.0019324175,0.0000000000,0.0000000000,0.0102470731,0.0320879929,0.0205683913,0.0208090581,0.1169511080,0.1257430464,0.0494514331,0.0230623968,0.0938097239,0.0589538887,0.0424959809,0.0387553945,0.1160517409,0.1070519686,0.0571511202,0.0542488620,0.0678317025,0.0661597475,0.1671256274,0.0000000000,0.0000000000,0.0173889324,0.1075903326,0.1002934128,0.0836718455,0.0849593505,0.0000000601,-0.0333828069,0.0164009817,0.0204057135,-0.0483997129,0.1903593391,-0.0093223518,0.0267486405,0.1904042810,0.0051548486
